query	virus_family	length_contig	qlo	qhi	length_homol	frac_homol	qframe	id	evalue	target
NODE_550_length_1564_cov_0.418928	Adenoviridae	1564	818	1237	419	0.27	2	43.4	4.82E-26	AOC84054_ORF1_Fowl_aviadenovirus_E
NODE_1889_length_558_cov_0.306265	Adenoviridae	558	2	556	554	0.99	2	99.5	8.38E-108	AIT55881_DNAbinding_protein_Human_mastadenovirus_D
NODE_3200_length_353_cov_0.292035	Adenoviridae	353	1	351	350	0.99	-3	100	6.56E-66	AEL78881_100K_protein_Human_adenovirus_60a
NODE_3827_length_312_cov_0.356757	Adenoviridae	312	1	246	245	0.79	1	96.3	1.35E-41	AFK92793_Orf67_Human_adenovirus_44
NODE_776_length_1211_cov_0.594096	Asfarviridae	1211	449	1018	569	0.47	-2	39.4	1.86E-29	CAN10153_RNA_polymerase_subunit_2_African_swine_fever_virus_Benin_971
NODE_3492_length_331_cov_0.323529	Herpesviridae	331	1	249	248	0.75	-2	48.8	2.61E-16	NP_077473_uracil_DNA_glycosylase_Cercopithecine_herpesvirus_9
NODE_4597_length_128_cov_15	Herpesviridae	128	1	126	125	0.98	-3	85.7	5.12E-18	AKA28612_EBNA1_protein_Human_herpesvirus_4
NODE_4595_length_130_cov_29	Herpesviridae	130	1	129	128	0.98	1	67.4	6.86E-10	YP_006273051_ORF71_gene_product_Equid_herpesvirus_8
NODE_4597_length_128_cov_15	Papillomaviridae	128	1	126	125	0.98	1	50	5.01E-12	YP_002242153_putative_E4_protein_partial_Sus_scrofa_papillomavirus_1
NODE_35_length_9211_cov_0.733487	Poxviridae	9211	5042	6034	992	0.11	-1	32.1	2.02E-45	AAT99858_unknown_Diachasmimorpha_longicaudata_entomopoxvirus
NODE_149_length_3250_cov_0.53154	Poxviridae	3250	1249	2364	1115	0.34	-2	33.7	2.93E-60	AAT99858_unknown_Diachasmimorpha_longicaudata_entomopoxvirus
NODE_550_length_1564_cov_0.418928	Poxviridae	1564	848	1243	395	0.25	2	46.2	5.01E-25	NP_957916_ORF007_dUTPase_Bovine_papular_stomatitis_virus
NODE_603_length_1448_cov_0.359576	Poxviridae	1448	1051	1443	392	0.27	1	42.7	7.44E-23	AAT99858_unknown_Diachasmimorpha_longicaudata_entomopoxvirus
NODE_706_length_1296_cov_0.433704	Poxviridae	1296	20	337	317	0.24	2	33	2.88E-10	YP_009001498_putative_ATPbinding_cassette_transporter_Anomala_cuprea_entomopoxvirus
NODE_726_length_1277_cov_0.452174	Poxviridae	1277	895	1275	380	0.3	-3	40.9	5.17E-21	YP_004821427_thymidine_kinase_Yoka_poxvirus
NODE_776_length_1211_cov_0.594096	Poxviridae	1211	413	1039	626	0.52	-2	32.5	6.58E-24	YP_009162498_DNAdirected_RNA_polymerase_subunit_beta_Salmon_gill_poxvirus
NODE_1152_length_918_cov_0.294564	Poxviridae	918	303	917	614	0.67	-2	33.2	9.20E-29	AAT99858_unknown_Diachasmimorpha_longicaudata_entomopoxvirus
NODE_4595_length_130_cov_29	Poxviridae	130	1	123	122	0.94	1	70.7	5.13E-10	AAN47054_hemagglutinin_Skunkpox_virus
										
										
										
										
										
										
