contig.id	annotation	contig.length	hit.start	hit.end	length.homology	frac.homology	qframe	identity	evalue	target
Contig1	Herpesviridae	1001	693	839	146	0.15	-1	67.3	5.7544E-14	CAA67869_StpC139_Saimiriine_herpesvirus_2
Contig2	Picobirnaviridae	5344	3610	4017	407	0.08	-2	31.2	6.0256E-13	ANS53890_ORF1_Picobirnavirus_wolfPRT1892015
Contig3	Herpesviridae	838	2	241	239	0.29	2	35.8	6.16595E-12	CAC84343_hypothetical_protein_Saimiriine_herpesvirus_2
Contig4	Adenoviridae	17429	10975	11355	380	0.02	1	42.2	1.07152E-19	YP_004346911_ORF1_Fowl_aviadenovirus_C
Contig5	Picobirnaviridae	4941	2342	2587	245	0.05	-3	42.9	1.62181E-15	AKN50615_ORF1_Picobirnavirus_Equ4
Contig6	Circoviridae	3595	783	1646	863	0.24	3	38.6	5.24807E-41	YP_009126903_replicationassociated_protein_AvonHeathcote_Estuary_associated_circular_virus_12
Contig7	Picobirnaviridae	597	16	597	581	0.97	-1	59.8	3.89045E-64	AIY31290_putative_RNAdependent_RNA_polymerase_Dromedary_picobirnavirus
Contig8	Asfarviridae	581	3	578	575	0.99	3	34.2	7.24436E-22	P0C8K3_RecName_FullDNAdirected_RNA_polymerase_subunit_2
Contig9	Herpesviridae	559	4	555	551	0.99	1	46.9	3.98107E-38	NP_048019_orf_46_Ateline_herpesvirus_3
Contig10	Adenoviridae	3081	1479	1898	419	0.14	3	46.2	7.4131E-27	AOS87861_ORF1_Fowl_aviadenovirus_E
Contig11	Picobirnaviridae	490	3	488	485	0.99	-3	95.1	9.77237E-82	YP_239359_hypothetical_protein_HPV_s1gp1_Human_picobirnavirus
Contig12	Herpesviridae	413	127	315	188	0.46	-3	49.2	4.36516E-10	CAA67871_StpC484_Saimiriine_herpesvirus_2
Contig13	Herpesviridae	11338	7406	7567	161	0.01	2	55.6	6.16595E-11	CAA67869_StpC139_Saimiriine_herpesvirus_2
Contig14	Picobirnaviridae	2340	1	1557	1556	0.66	-1	39.9	1.0233E-103	AOW41970_capsid_protein_partial_Picobirnavirus_sp
Contig15	Picobirnaviridae	356	11	325	314	0.88	-2	62	4.0738E-37	ADG56983_RNAdependent_RNA_polymerase_Human_picobirnavirus
Contig16	Picobirnaviridae	2070	52	1596	1544	0.75	-1	31.6	5.24807E-68	CAB65394_hypothetical_protein_Rabbit_picobirnavirus
Contig17	Herpesviridae	337	2	283	281	0.83	-1	48.5	5.24807E-17	0808303A_Ig_lambda1
Contig18	Herpesviridae	332	4	330	326	0.98	-3	54.5	1.94984E-24	YP_009118435_uracilDNA_glycosylase_Equid_herpesvirus_5
Contig19	Picobirnaviridae	330	2	307	305	0.92	-3	93.1	6.0256E-53	Q50LE5_RecName_FullCapsid_protein_precursor_Contains_RecName_Full7_kDa_polypeptide_Contains_RecName_FullCapsid_protein_ShortCP
Contig20	Herpesviridae	292	7	144	137	0.47	-2	69.6	3.54813E-14	CAA67869_StpC139_Saimiriine_herpesvirus_2
Contig21	Picobirnaviridae	1628	99	1619	1520	0.93	3	61.6	6.7608E-185	AOW41971_RNAdependent_RNA_polymerase_Picobirnavirus_sp
Contig22	Herpesviridae	145	3	143	140	0.97	-3	53.2	3.38844E-10	ALQ28528_EBNA1_protein_Human_herpesvirus_4
Contig23	Picobirnaviridae	1572	13	1572	1559	0.99	-1	97.7	0	AOW41973_RNAdependent_RNA_polymerase_Picobirnavirus_sp
Contig24	Picobirnaviridae	1240	1	1206	1205	0.97	1	93.8	2.3442E-228	ACY01866_RNAdependent_RNA_polymerase_partial_Human_picobirnavirus
Contig25	Asfarviridae	6486	430	1536	1106	0.17	-1	32.5	2.75423E-42	P0C8K5_RecName_FullDNAdirected_RNA_polymerase_subunit_2
