contig.id	family	contig.length	hit.start	hit.end	length.homology	frac.homology	qframe	identity	evalue	target
Contig1	Asfarviridae	537	135	512	377	0.7	-2	31.6	3.98107E-11	ADD62410_pB602L_partial_African_swine_fever_virus
Contig2	Herpesviridae	5472	1561	1725	164	0.03	-1	60	1.8197E-12	P25050_RecName_FullSaimiri_transformationassociated_protein_AltName_FullCollagenlike_protein_AltName_FullstpC
Contig3	Asfarviridae	15914	13359	14474	1115	0.07	3	33.3	6.60693E-44	CAN10153_RNA_polymerase_subunit_2_African_swine_fever_virus_Benin_971
Contig4	Adenoviridae	419	3	323	320	0.76	3	45.8	1.44544E-19	AAK00135_ORF2_Porcine_adenovirus_5
Contig5	Asfarviridae	1804	356	925	569	0.32	2	39.4	1.69824E-29	CAN10153_RNA_polymerase_subunit_2_African_swine_fever_virus_Benin_971
Contig6	Herpesviridae	360	3	359	356	0.99	-2	42.6	4.67735E-16	ALV82903_EBNA1_Human_herpesvirus_4
Contig7	Adenoviridae	340	2	271	269	0.79	2	47.8	3.63078E-19	AAK00135_ORF2_Porcine_adenovirus_5
Contig8	Asfarviridae	307	9	305	296	0.96	3	50.5	2.95121E-19	ABK15631_9RL_protein_partial_African_swine_fever_virus
Contig8	Herpesviridae	307	3	305	302	0.98	3	34.7	6.60693E-11	AJG43003_hypothetical_protein_Harp_seal_herpesvirus
Contig9	Adenoviridae	280	27	278	251	0.9	3	44	3.0903E-10	YP_004346954_ORF19A_Fowl_aviadenovirus_C
Contig9	Asfarviridae	280	6	236	230	0.82	3	41	7.58578E-14	ADD62410_pB602L_partial_African_swine_fever_virus
Contig9	Herpesviridae	280	6	278	272	0.97	-3	33.9	3.16228E-12	Q69566_RecName_FullUncharacterized_protein_U88
Contig10	Adenoviridae	1285	232	651	419	0.33	-2	44.1	2.75423E-24	ANJ02400_ORF1_Fowl_aviadenovirus_3
Contig11	Herpesviridae	3726	843	1493	650	0.17	-2	43.6	4.2658E-47	AHA93320_UL2_uracil_DNA_glycosylase_(UDG)_Chelonid_herpesvirus_5
Contig12	Picobirnaviridae	980	655	945	290	0.3	1	38.9	4.67735E-11	ANS53890_ORF1_Picobirnavirus_wolfPRT1892015
Contig13	Herpesviridae	932	250	612	362	0.39	1	36.8	7.94328E-14	ACY41122_envelope_glycoprotein_350_Wood_mouse_herpesvirus
Contig14	Caliciviridae	3211	1589	2098	509	0.16	2	36.1	8.12831E-23	BAE72466_RNA_dependent_RNA_polymerase_partial_Norovirus_HuKolkataV1370
Contig15	Herpesviridae	2930	3	365	362	0.12	3	63.6	8.12831E-40	YP_009118461_thymidylate_synthase_Equid_herpesvirus_5
Contig16	Adenoviridae	768	414	740	326	0.42	-2	45.9	6.30957E-24	AAK00135_ORF2_Porcine_adenovirus_5
Contig17	Picobirnaviridae	762	30	185	155	0.2	-2	53.8	9.54993E-15	AKN50615_ORF1_Picobirnavirus_Equ4
Contig18	Herpesviridae	760	2	649	647	0.85	2	48	3.23594E-47	Q01019_RecName_FullUracilDNA_glycosylase_ShortUDG
Contig19	Pneumoviridae	2524	16	615	599	0.24	-2	31.3	7.4131E-11	AAT86121_attachment_glycoprotein_Avian_metapneumovirus
Contig20	Herpesviridae	656	13	585	572	0.87	-3	41.8	1.54882E-38	YP_009252285_uracilDNA_glycosylase_Canid_herpesvirus_1
Contig21	Herpesviridae	587	424	582	158	0.27	-3	46.8	6.60693E-10	AJG42941_hypothetical_protein_Harp_seal_herpesvirus
Contig22	Asfarviridae	6266	2010	2741	731	0.12	3	35.1	3.80189E-31	P0C8K3_RecName_FullDNAdirected_RNA_polymerase_subunit_2
Contig23	Herpesviridae	571	121	447	326	0.57	1	32.1	6.91831E-10	AOS50802_envelope_glycoprotein_partial_Equid_herpesvirus_9
